"var","var_2","cor"
"222","saldo_mora60_max1m12","por_mora90_max1m3",0.3807
"223","saldo_mora60_max1m12","saldo_mora90_max1m3",0.6836
"224","saldo_mora60_max1m12","por_mora90_max1m12",0.37
"225","saldo_mora60_max1m12","saldo_mora90_max1m12",0.8459
"226","saldo_mora60_max1m12","por_mora60_max1m6",0.376
"227","saldo_mora60_max1m12","saldo_mora60_max1m6",0.8471
"228","saldo_mora60_max1m12","saldo_cal4_max1m6",0.7162
"229","saldo_mora60_max1m12","por_mora90_max1m6",0.3571
"230","saldo_mora60_max1m12","saldo_mora90_max1m6",0.6914
"231","saldo_mora60_max1m12","saldo_cal34_max1m12",0.9292
"232","saldo_mora60_max1m12","por_cal34_max1m12",0.3888
"233","saldo_mora60_max1m12","ci_pv",0.0322
"234","saldo_mora60_max1m12","saldo_cal34_max1m6",0.7916
"235","saldo_mora60_max1m12","por_cal4_max1m6",0.3413
"236","saldo_mora60_max1m12","saldo_cal4_max1m12",0.8385
"237","saldo_mora60_max1m12","por_cal34_1m",0.3599
"238","saldo_mora60_max1m12","por_cal4_max1m12",0.3654
"239","saldo_mora60_max1m12","saldo_cal4_max1m3",0.7007
"240","saldo_mora60_max1m12","por_mora60_1m",0.3813
"241","saldo_mora60_max1m12","saldo_mora60_1m",0.5835
"242","saldo_mora60_max1m12","por_cal4_max1m3",0.3447
"243","saldo_mora60_max1m12","por_cal34_max1m6",0.3661
"244","saldo_mora60_max1m12","por_mora90_1m",0.3779
"245","saldo_mora60_max1m12","saldo_mora90_1m",0.5808
"246","saldo_mora60_max1m12","por_castigo_max1m6",0.3323
"247","saldo_mora60_max1m12","saldo_castigo_max1m6",0.5853
"248","saldo_mora60_max1m12","saldo_cal34_1m",0.5256
"249","saldo_mora60_max1m12","por_mora_0_min1m6",-0.3186
"250","saldo_mora60_max1m12","por_cal4_1m",0.3497
"251","saldo_mora60_max1m12","por_cal0_min1m3",-0.3368
"252","saldo_mora60_max1m12","por_mora_0_min1m3",-0.3388
"253","saldo_mora60_max1m12","por_vig_min1m3",-0.3833
"254","saldo_mora60_max1m12","por_castigo_max1m3",0.3527
"255","saldo_mora60_max1m12","saldo_castigo_max1m3",0.5656
"256","saldo_mora60_max1m12","frec_por_cal0_100_1m12",-0.3451
"257","saldo_mora60_max1m12","saldo_cal4_1m",0.5799
"258","saldo_mora60_max1m12","por_vig_min1m6",-0.3713
"259","saldo_mora60_max1m12","saldo_cal234_max1m3",0.7237
"260","saldo_mora60_max1m12","por_mora30_max1m3",0.3812
"261","saldo_mora60_max1m12","saldo_mora30_max1m3",0.778
"262","saldo_mora60_max1m12","por_cal234_max1m3",0.3514
"263","saldo_mora60_max1m12","por_mora30_1m",0.3802
"264","saldo_mora60_max1m12","saldo_mora30_1m",0.5754
"265","saldo_mora60_max1m12","por_cal234_1m",0.357
"266","saldo_mora60_max1m12","por_vig_1m",-0.3803
"267","saldo_mora60_max1m12","por_vig_min1m12",-0.3722
"268","saldo_mora60_max1m12","por_cal0_min1m6",-0.3175
"269","saldo_mora60_max1m12","frec_calificacion_0_1m12",-0.3124
"270","saldo_mora60_max1m12","por_castigo_1m",0.3533
"271","saldo_mora60_max1m12","saldo_castigo_1m",0.5617
"272","saldo_mora60_max1m12","por_castigo_max1m12",0.3352
"273","saldo_mora60_max1m12","saldo_castigo_max1m12",0.6664
"274","saldo_mora60_max1m12","calificacion_max1m3",0.2498
"275","saldo_mora60_max1m12","saldo_cal234_1m",0.514
"276","saldo_mora60_max1m12","por_mora30_max1m6",0.3638
"277","saldo_mora60_max1m12","saldo_mora30_max1m6",0.7037
"278","saldo_mora60_max1m12","frec_mora60_1m12",0.3672
"279","saldo_mora60_max1m12","frec_mora90_1m12",0.3562
"280","saldo_mora60_max1m12","frec_por_cal4_100_1m12",0.2933
"281","saldo_mora60_max1m12","por_mora30_max1m12",0.3718
"282","saldo_mora60_max1m12","saldo_mora30_max1m12",0.8324
"283","saldo_mora60_max1m12","frec_mora120_1m12",0.348
"284","saldo_mora60_max1m12","provision",0.2519
"285","saldo_mora60_max1m12","frec_mora_0_1m12",-0.334
"286","saldo_mora60_max1m12","frec_calificacion_34_1m12",0.3327
"287","saldo_mora60_max1m12","saldo_cal234_max1m6",0.6734
"288","saldo_mora60_max1m12","por_cal0_1m",-0.3516
"289","saldo_mora60_max1m12","por_mora_0_1m",-0.3503
"290","saldo_mora60_max1m12","frec_calificacion_4_1m12",0.307
"291","saldo_mora60_max1m12","por_cal234_max1m6",0.3537
"292","saldo_mora60_max1m12","saldo_cal1234_max1m3",0.4612
"293","saldo_mora60_max1m12","saldo_cal234_max1m12",0.7817
"294","saldo_mora60_max1m12","por_mora_0_min1m12",-0.3103
"295","saldo_mora60_max1m12","por_cal1234_max1m3",0.3193
"296","saldo_mora60_max1m12","por_cal234_max1m12",0.3718
"297","saldo_mora60_max1m12","por_cal1234_1m",0.336
"298","saldo_mora60_max1m12","calificacion_1m",0.3649
"299","saldo_mora60_max1m12","frec_mora30_1m12",0.376
"300","saldo_mora60_max1m12","calificacion_max1m6",0.2605
"301","saldo_mora60_max1m12","saldo_cal1234_1m",0.3372
"302","saldo_mora60_max1m12","can_emp_1m",0.0459
"303","saldo_mora60_max1m12","edad",0.0243
"304","saldo_mora60_max1m12","frec_mora0_1m12",0.3622
"305","saldo_mora60_max1m12","por_cal0_min1m12",-0.3093
"306","saldo_mora60_max1m12","frec_calificacion_234_1m12",0.3534
"307","saldo_mora60_max1m12","mora_max1m3",0.2272
"308","saldo_mora60_max1m12","por_mora0_max1m3",0.3388
"309","saldo_mora60_max1m12","saldo_mora0_max1m3",0.3788
"310","saldo_mora60_max1m12","mora_1m",0.2275
"311","saldo_mora60_max1m12","por_mora0_1m",0.3503
"312","saldo_mora60_max1m12","saldo_mora0_1m",0.2148
"313","saldo_mora60_max1m12","frec_calificacion_1234_1m12",0.353
"314","saldo_mora60_max1m12","disp_efectivo_max1m6",-0.0653
"315","saldo_mora60_max1m12","por_uso_efectivo_max1m6",-0.0688
"316","saldo_mora60_max1m12","linea_usada_max1m6",-0.0918
"317","saldo_mora60_max1m12","calificacion_max1m12",0.3778
"318","saldo_mora60_max1m12","linea_total_max1m6",-0.1205
"319","saldo_mora60_max1m12","saldo_cal1234_max1m6",0.4307
"320","saldo_mora60_max1m12","por_uso_linea_max1m6",-0.0624
"321","saldo_mora60_max1m12","cv_saldo_1m12",-0.1208
"322","saldo_mora60_max1m12","por_cal1234_max1m6",0.3183
"323","saldo_mora60_max1m12","disp_efectivo_max1m12",-0.0779
"324","saldo_mora60_max1m12","por_uso_efectivo_max1m12",-0.0787
