"variable","mean","std_dev","variation_coef","p_01","p_05","p_25","p_50","p_75","p_95","p_99","skewness","kurtosis","iqr","range_98","range_80"
"67","por_uso_linea_1m",0.560934671532847,0.370446141073242,0.660408706883703,0,0,0.2067,0.62285,0.920425,1,1,-0.312296417913021,1.59667608211363,0.713725,"[0, 1]","[0, 1]"
"68","disp_efectivo_1m",606.451824817518,2280.03180015722,3.75962559077678,0,0,0,0,192.7225,3437.5375,10511.827,9.71028939171075,148.542211674742,192.7225,"[0, 10511.827]","[0, 1345.1]"
"69","por_uso_efectivo_1m",0.100508759124088,0.223373139414282,2.22242460618289,0,0,0,0,0.059325,0.6612,1,2.58444390165185,9.08147707105089,0.059325,"[0, 1]","[0, 0.39465]"
"70","saldo_me_1m",18.796787695411,563.278012920947,29.9667167629107,0,0,0,0,0,0,31.9314999999993,51.053979091462,2841.97252019502,0,"[0, 31.9314999999993]","[0, 0]"
"71","por_me_1m",0.00381321230458901,0.0568526159592161,14.9093759848611,0,0,0,0,0,0,0.00930499999999997,16.5833908255673,281.769991751547,0,"[0, 0.00930499999999997]","[0, 0]"
"72","por_cal0_min1m3",36.5077483917084,47.2358809043495,1.29385905691948,0,0,0,0,100,100,100,0.552449602682395,1.33715378636462,100,"[0, 100]","[0, 100]"
"73","saldo_cal4_max1m3",779.61865901319,1189.20410496436,1.52536639704033,0,0,0,385.74,1261.3925,2561.618,4566.3945,6.53097699057772,120.779641892372,1261.3925,"[0, 4566.3945]","[0, 2066.886]"
"74","por_cal4_max1m3",51.9814796283059,49.2012584901462,0.94651515966764,0,0,0,100,100,100,100,-0.075709062002088,1.03090013354172,100,"[0, 100]","[0, 100]"
"75","saldo_cal34_max1m3",888.513837322912,1679.55405144136,1.8902958861078,0,0,0,466.84,1349.58,2988.263,5180.9463,12.0087649396115,255.632447249919,1349.58,"[0, 5180.9463]","[0, 2234.357]"
"76","por_cal34_max1m3",54.439930903026,49.2857308103084,0.905323169827333,0,0,0,100,100,100,100,-0.17232091562156,1.04523549328709,100,"[0, 100]","[0, 100]"
"77","saldo_cal234_max1m3",961.311028334148,1903.42268716602,1.98002793171369,0,0,0,509.315,1415.21,3198.3285,5601.83160000002,11.6616626793421,229.00925234061,1415.21,"[0, 5601.83160000002]","[0, 2286.335]"
"78","por_cal234_max1m3",56.3058541815583,49.0385307639885,0.870931299716434,0,0,0,100,100,100,100,-0.248189157871621,1.07917250731866,100,"[0, 100]","[0, 100]"
"79","saldo_cal1234_max1m3",1314.61899364924,4148.7406962112,3.15585026251198,0,0,0,668.915,1522.925,3716.1295,10461.5361,14.7206414649358,301.713495659291,1522.925,"[0, 10461.5361]","[0, 2473.732]"
"80","por_cal1234_max1m3",60.3233238027162,48.028285954216,0.796181027943513,0,0,0,100,100,100,100,-0.414463168621983,1.20177026921058,100,"[0, 100]","[0, 100]"
"81","calificacion_max1m3",4.92582215012535,3.59321075108295,0.729464166908972,0,0,1,4,9,9,9,-0.0791628660682733,1.50102574822748,8,"[0, 9]","[0, 9]"
"82","saldo_max1m3",4256.92760381045,11564.8891958705,2.71672207568637,89.9125,280.078,854.6175,1588.52,3276.12,18925.9455,43139.2761,18.3161997906413,579.342782004017,2421.5025,"[89.9125, 43139.2761]","[450, 9002.223]"
"83","mora_max1m3",882.114802149487,1154.92815649959,1.30927193794428,0,0,0,355,1509,3079.55,4840.47,1.76718357507268,7.33453204088894,1509,"[0, 4840.47]","[0, 2468.4]"
"84","saldo_mora90_max1m3",801.323786028334,1382.09048762116,1.72475909453697,0,0,0,411.02,1285.33,2594.9355,4621.9795,12.5328901004727,340.760001786835,1285.33,"[0, 4621.9795]","[0, 2085.971]"
"85","por_mora90_max1m3",0.537808011724475,0.490228789334437,0.911531213085734,0,0,0,1,1,1,1,-0.148404439943342,1.04971912910614,1,"[0, 1]","[0, 1]"
"86","saldo_mora60_max1m3",834.18856863703,1525.40924882996,1.82861442386139,0,0,0,450.31,1311.4,2699.3735,4733.62070000001,13.6366361347876,341.438339834609,1311.4,"[0, 4733.62070000001]","[0, 2126.626]"
"87","por_mora60_max1m3",0.54621861260381,0.488515185115943,0.894358364661364,0,0,0,1,1,1,1,-0.18016351931322,1.0632132071029,1,"[0, 1]","[0, 1]"
"88","saldo_mora30_max1m3",889.049824132877,1680.01962748053,1.88967995029876,0,0,0,496.635,1351.6325,2846.866,5180.9463,12.8345765519779,280.892480601983,1351.6325,"[0, 5180.9463]","[0, 2193.52]"
"89","por_mora30_max1m3",0.562538739618955,0.485946988769792,0.863846264346091,0,0,0,1,1,1,1,-0.245951508939579,1.09423373287454,1,"[0, 1]","[0, 1]"
"90","saldo_mora0_max1m3",1399.50061064973,4010.74666095499,2.86584130827422,0,0,0,736.46,1584.9875,3705.5675,13626.4298000002,10.4539313830094,141.548526203034,1584.9875,"[0, 13626.4298000002]","[0, 2498.912]"
"91","por_mora0_max1m3",0.631416218856864,0.466803292064552,0.739295694541499,0,0,0,1,1,1,1,-0.536349834581152,1.34446933027635,1,"[0, 1]","[0, 1]"
"92","por_mora_0_min1m3",0.368583781143136,0.466803292064552,1.26647811419373,0,0,0,0,1,1,1,0.536349834581152,1.34446933027635,1,"[0, 1]","[0, 1]"
"93","por_vig_min1m3",0.444571397166585,0.485382373241204,1.09179847451888,0,0,0,0,1,1,1,0.214623472094472,1.08283448554124,1,"[0, 1]","[0, 1]"
"94","saldo_novig_max1m3",179.636985832926,1287.09977649934,7.1650043031585,0,0,0,0,0,962.263999999999,3289.31260000003,20.6183451719672,575.001400789996,0,"[0, 3289.31260000003]","[0, 97.1700000000003]"
"95","por_novig_max1m3",0.0643323644357597,0.225102210593761,3.49905078987951,0,0,0,0,0,0.734265,1,3.57042393322241,14.3320836362503,0,"[0, 1]","[0, 0.0375400000000003]"
"96","saldo_castigo_max1m3",718.815222276502,1022.63339910966,1.42266519603043,0,0,0,272.455,1181.8075,2448.076,4363.052,3.02856225388447,28.0297999933472,1181.8075,"[0, 4363.052]","[0, 1998.725]"
"97","por_castigo_max1m3",0.507414826575476,0.491504701034014,0.968644736597787,0,0,0,0.56435,1,1,1,-0.0263642439110173,1.02925752848231,1,"[0, 1]","[0, 1]"
"98","linea_activa_max1m3",4557.10521052632,8593.72015747849,1.88578489204685,1,300,900,1874.62,4700,17331.158,33822.5837999999,8.04552868964407,116.246616785555,3800,"[1, 33822.5837999999]","[500, 12155.441]"
"99","linea_total_max1m3",4447.82702090592,8375.58643147983,1.88307377784982,1,274.431,900,1800,4601.28,17146.46,33309.2322,7.91351404902009,111.526753241952,3701.28,"[1, 33309.2322]","[500, 11401.881]"
"100","linea_usada_max1m3",2308.10258710801,3851.1578441053,1.6685384200928,0,0,367.8625,996.96,2488.765,9589.76599999999,17464.1816,4.65101991869747,38.9992769206013,2120.9025,"[0, 17464.1816]","[0, 6135.71199999999]"
"101","por_uso_linea_max1m3",0.631650958188153,0.368565318180412,0.583495225333965,0,0,0.322075,0.7544,0.976825,1,1,-0.605811727604629,1.86456752822639,0.65475,"[0, 1]","[0, 1]"
"102","disp_efectivo_max1m3",706.619738675958,2406.22984744088,3.40526837241994,0,0,0,0,430.5375,3960.76999999996,10660.6828,9.21740845727158,137.434354250137,430.5375,"[0, 10660.6828]","[0, 1687.127]"
"103","por_uso_efectivo_max1m3",0.129479965156794,0.252157022181409,1.94745976241234,0,0,0,0,0.123525,0.792894999999995,1,2.15319239464761,6.74552691676579,0.123525,"[0, 1]","[0, 0.50467]"
"104","saldo_me_max1m3",28.3957059110894,730.569401847781,25.7281648195431,0,0,0,0,0,0,120.647,39.1058939775835,1639.44317971943,0,"[0, 120.647]","[0, 0]"
"105","por_me_max1m3",0.00466348314606742,0.0621773339156138,13.3328098265019,0,0,0,0,0,0,0.025014,14.9488756890019,230.037339167957,0,"[0, 0.025014]","[0, 0]"
"106","por_cal0_min1m6",33.0864757505774,46.0060958554458,1.39048039453531,0,0,0,0,100,100,100,0.710989039703266,1.5452789407741,100,"[0, 100]","[0, 100]"
"107","saldo_cal4_max1m6",816.009697685404,1262.99930395357,1.54777487024485,0,0,0,401.335,1295.6275,2736.3055,4844.8216,6.04578100165496,97.8214483177219,1295.6275,"[0, 4844.8216]","[0, 2126.626]"
"108","por_cal4_max1m6",52.7933741339492,49.1990036183138,0.931916257019004,0,0,0,100,100,100,100,-0.10862050073127,1.03571196164016,100,"[0, 100]","[0, 100]"
"109","saldo_cal34_max1m6",952.117668871044,1793.45174774617,1.88364506445167,0,0,0,497.375,1417.4625,3231.8465,5561.02890000001,10.4921156865677,198.49735624062,1417.4625,"[0, 5561.02890000001]","[0, 2305.574]"
"110","por_cal34_max1m6",55.6986397228637,49.1580689333284,0.88257216294547,0,0,0,100,100,100,100,-0.22377459276922,1.06585242022855,100,"[0, 100]","[0, 100]"
"111","saldo_cal234_max1m6",1096.71509447331,2926.12048177411,2.66807714831294,0,0,0,569.065,1484.61,3566.968,7120.5531,21.965101896529,773.199542996462,1484.61,"[0, 7120.5531]","[0, 2403.973]"
"112","por_cal234_max1m6",57.9692979214781,48.7816309178679,0.841508051105686,0,0,0,100,100,100,100,-0.317557410040192,1.11935227094103,100,"[0, 100]","[0, 100]"
"113","saldo_cal1234_max1m6",1534.04008266415,4621.23553847602,3.01246075034127,0,0,0,762.815,1658.9625,4327.2535,19254.5057000002,12.2138104027608,213.59910703156,1658.9625,"[0, 19254.5057000002]","[0, 2803.73]"
"114","por_cal1234_max1m6",63.1524110854503,47.2162178621388,0.747655030910086,0,0,0,100,100,100,100,-0.537985000772909,1.32548895120392,100,"[0, 100]","[0, 100]"
"115","calificacion_max1m6",4.82745907683233,3.53753841552036,0.732795112132077,0,0,1,4,9,9,9,-0.0182820295846541,1.53452572391333,8,"[0, 9]","[0, 9]"
"116","saldo_max1m6",4528.48704770902,11744.4565333377,2.59346143857898,92.7406,295.9075,897.6225,1671.635,3554.4725,20102.6865,45217.9524,17.065127038792,526.107945812571,2656.85,"[92.7406, 45217.9524]","[458.647, 9674.018]"
"117","mora_max1m6",887.641946150213,1149.58008225039,1.29509436460977,0,0,0,360,1530,3055,4829.02,1.74324711437619,7.24455068652733,1530,"[0, 4829.02]","[0, 2468.4]"
"118","saldo_mora90_max1m6",838.079971658007,1434.68359950385,1.71186956856344,0,0,0,431.985,1313.855,2766.3975,4900.7327,11.2814546096983,286.080423499771,1313.855,"[0, 4900.7327]","[0, 2139.116]"
"119","por_mora90_max1m6",0.546748889938592,0.489469153885784,0.895235752450743,0,0,0,1,1,1,1,-0.184865952129962,1.06194275903929,1,"[0, 1]","[0, 1]"
"120","saldo_mora60_max1m6",881.869156825697,1591.9690809829,1.80522140802976,0,0,0,480.22,1350.83,2939.74,5081.92710000001,12.1416159736837,281.45407139957,1350.83,"[0, 5081.92710000001]","[0, 2198.44]"
"121","por_mora60_max1m6",0.556955432215399,0.487299851132531,0.874935089858448,0,0,0,1,1,1,1,-0.223729513129608,1.08127653298121,1,"[0, 1]","[0, 1]"
"122","saldo_mora30_max1m6",1002.3917288616,2266.62920414552,2.26122097667317,0,0,0,542.56,1421.65,3170.0695,6085.1547,12.3206947184071,209.445343176904,1421.65,"[0, 6085.1547]","[0, 2285.43]"
"123","por_mora30_max1m6",0.577860344827586,0.483420639194501,0.836570018208702,0,0,0,1,1,1,1,-0.309128624759389,1.13102454641472,1,"[0, 1]","[0, 1]"
"124","saldo_mora0_max1m6",1649.75361124232,4557.07744029628,2.76227759663132,0,0,0,836.965,1713.15,4436.3865,26537.5186000001,8.74174519687719,98.9277996870475,1713.15,"[0, 26537.5186000001]","[0, 2875.681]"
"125","por_mora0_max1m6",0.664655715635333,0.455514136056283,0.685338477260915,0,0,0,1,1,1,1,-0.690429978474544,1.54045594260495,1,"[0, 1]","[0, 1]"
"126","por_mora_0_min1m6",0.335344284364667,0.455514136056283,1.3583476960679,0,0,0,0,1,1,1,0.690429978474545,1.54045594260495,1,"[0, 1]","[0, 1]"
"127","por_vig_min1m6",0.43241681624941,0.483223892572201,1.11749560704755,0,0,0,0,1,1,1,0.263819969978873,1.10933644656727,1,"[0, 1]","[0, 1]"
"128","saldo_novig_max1m6",235.03874350496,1492.27175411745,6.34904582905906,0,0,0,0,0,1251.022,3817.1864,18.3076357286881,445.538125014853,0,"[0, 3817.1864]","[0, 370.907]"
"129","por_novig_max1m6",0.0867466934341049,0.259882481763574,2.99587766951588,0,0,0,0,0,1,1,2.95392819844306,10.1411515149045,0,"[0, 1]","[0, 0.25265]"
